"ConstituencyCode","Constituency","Nominate","NominateAlias","Gender","Occupation","Politics","NominateDate","Remarks","Candidate"
"F02","CHEUNG SHA WAN","LEE Man-ho Leos","","M","","","5/10/2015","","LEE MAN HO LEOS"
"F02","CHEUNG SHA WAN","LAM Shui-hum","","F","Grassroot Organizer","","13/10/2015","","LAM SHUI HUM"
"F03","NAM CHEONG NORTH","CHENG Wing-shun Vincent","","M","Deputy Executive Director/District Councilor","DAB","2/10/2015","","CHENG WING SHUN VINCENT"
"F03","NAM CHEONG NORTH","CHAN Wing-fai Jordan","","M","Technician","People Power","12/10/2015","","CHAN WING FAI JORDAN"
"F04","SHEK KIP MEI","CHAN Kwok-wai","","M","","","2/10/2015","","CHAN KWOK WAI"
"F04","SHEK KIP MEI","TSUNG Po-shan","","M","District Council Member","ADPL","5/10/2015","","TSUNG PO SHAN"
"F05","NAM CHEONG EAST","MIU Hoi-ming","","M","","DAB","2/10/2015","","MIU HOI MING"
"F05","NAM CHEONG EAST","HO Kai-ming Kalvin","","M","","ADPL","5/10/2015","","HO KAI MING KALVIN"
"F06","NAM CHEONG SOUTH","LEE Wing-man","","M","District Councillor","The Federation of Hong Kong & Kowloon Labour Unions","2/10/2015","","LEE WING MAN"
"F06","NAM CHEONG SOUTH","LAM Wai-tong","","M","","","9/10/2015","","LAM WAI TONG"
"F07","NAM CHEONG CENTRAL","LAU Pui-yuk","","F","District Councillor/Assistant Co-ordinator","DAB","2/10/2015","","LAU PUI YUK"
"F07","NAM CHEONG CENTRAL","MAK Wai-ming","","M","","Independent","15/10/2015","","MAK WAI MING"
"F08","NAM CHEONG WEST","WAI Woon-nam","","M","","ADPL","5/10/2015","","WAI WOON NAM"
"F08","NAM CHEONG WEST","HEUNG Ming-hau","","M","Community Officer","Independent Candidate","8/10/2015","","HEUNG MING HAU"
"F09","FU CHEONG","LI Kwing","","M","Social Worker","ADPL","2/10/2015","","LI KWING"
"F09","FU CHEONG","LEUNG Man-kwong","","M","Full Time District Councillor","","2/10/2015","","LEUNG MAN KWONG"
"F10","LAI KOK","CHAN Wing-yan","","F","","DAB/FTU","2/10/2015","","CHAN WING YAN"
"F10","LAI KOK","FUNG Kin-kee Frederick","","M","Legislative Councilor","ADPL","8/10/2015","","FUNG KIN KEE FREDERICK"
"F10","LAI KOK","WONG Chung-ki Eric","","M","Management in IT Co.","","14/10/2015","","WONG CHUNG KI ERIC"
"F11","FORTUNE","CHEUNG Tak-wai","","M","Community Organizer","DAB","2/10/2015","","CHEUNG TAK WAI"
"F11","FORTUNE","CHOW Wing-heng","Zoe","F","Community Officer","ADPL","5/10/2015","","CHOW WING HENG"
"F12","LAI CHI KOK SOUTH","TAN Wie-hon Derrick","","M","","DAB","2/10/2015","","TAN WIE HON DERRICK"
"F12","LAI CHI KOK SOUTH","YEUNG Yuk","","M","Registered Social Worker","ADPL","5/10/2015","","YEUNG YUK"
"F12","LAI CHI KOK SOUTH","MUI Yu","","M","","","10/10/2015","","MUI YU"
"F13","MEI FOO SOUTH","WONG Tat-tung","","M","Director","DAB","2/10/2015","","WONG TAT TUNG"
"F13","MEI FOO SOUTH","WONG Tak-chuen Joe","","M","Program Host and Producer","Civic Party","8/10/2015","","WONG TAK CHUEN JOE"
"F13","MEI FOO SOUTH","TZENG Li-wen Judy","","F","","","13/10/2015","","TZENG LI WEN JUDY"
"F14","MEI FOO CENTRAL","NG Yuet-lan","","F","Teacher","Civic Party","8/10/2015","","NG YUET LAN"
"F14","MEI FOO CENTRAL","SHUM Siu-hung","","M","","","8/10/2015","","SHUM SIU HUNG"
"F14","MEI FOO CENTRAL","CHAN Chung-kong Stephen","","M","RG & Performing Art Academy Principal","","13/10/2015","","CHAN CHUNG KONG STEPHEN"
"F15","MEI FOO NORTH","LI Chun-hei Joshua","","M","Assistant to Legislative Councillor","Civic Party","8/10/2015","","LI CHUN HEI JOSHUA"
"F15","MEI FOO NORTH","CHEUNG Wing-sum Ambrose","","M","Solicitor","Independent","9/10/2015","","CHEUNG WING SUM AMBROSE"
"F16","LAI CHI KOK CENTRAL","LI Ki-fung Bruce","Bruce","M","Full-time District Council Member","BPA/Kowloon West New Dynamic","2/10/2015","","LI KI FUNG BRUCE"
"F16","LAI CHI KOK CENTRAL","YUEN Hoi-man","Ramon","M","Chartered Financial Analyst","The Democratic Party","2/10/2015","","YUEN HOI MAN"
"F17","LAI CHI KOK NORTH","WONG King","Dr. King","","Professional Engineer","","2/10/2015","","WONG KING"
"F17","LAI CHI KOK NORTH","CHUM Tak-shing","","M","","ADPL","5/10/2015","","CHUM TAK SHING"
"F17","LAI CHI KOK NORTH","WU Sai-chuen","","M","","","7/10/2015","","WU SAI CHUEN"
"F18","UN CHAU & SO UK","CHAN Wai-ming","","M","Full Time District Councillor","*DAB","2/10/2015","","CHAN WAI MING"
"F18","UN CHAU & SO UK","FONG Chi-lung","","M","","","13/10/2015","","FONG CHI LUNG"
"F19","LEI CHENG UK","CHAN Keng-chau","","M","*Full-time Councillor","Kowloon West New Dynamic","2/10/2015","","CHAN KENG CHAU"
"F19","LEI CHENG UK","KONG Kwai-sang","","M","Registered Social Worker","Hong Kong Association for Democracy and People's Livelihood","5/10/2015","","KONG KWAI SANG"
"F20","HA PAK TIN","YAN Kai-wing","","M","","","12/10/2015","","YAN KAI WING"
"F20","HA PAK TIN","TANG Mei-ching","Sally","F","","Socialist Action","12/10/2015","","TANG MEI CHING"
"F21","YAU YAT TSUEN","LEE Tsz-king Dominic","Dominic","M","Managing Director of Electrical Components Company","Liberal Party","2/10/2015","","LEE TSZ KING DOMINIC"
"F21","YAU YAT TSUEN","CHAU Dickson Ka-faat","","M","Community Officer","League of Social Democrats","12/10/2015","","CHAU DICKSON KA FAAT"
"F22","NAM SHAN, TAI HANG TUNG & TAI HANG SAI","TAM Kwok-kiu","","M","Social Services Consultant","ADPL","5/10/2015","","TAM KWOK KIU"
"F22","NAM SHAN, TAI HANG TUNG & TAI HANG SAI","WAI Hoi-ying","","F","District Councillor","Kowloon West New Dynamic","7/10/2015","","WAI HOI YING"
"F22","NAM SHAN, TAI HANG TUNG & TAI HANG SAI","FOO Wai-lok","","M","","","15/10/2015","","FOO WAI LOK"
"F23","LUNG PING & SHEUNG PAK TIN","LAM Wai-man Raymond","","M","Quantity Surveying Manager","","2/10/2015","","LAM WAI MAN RAYMOND"
"F23","LUNG PING & SHEUNG PAK TIN","NG Mei Carman","","F","*Full-time District Councilor","Hong Kong Association for Democracy and People's Livelihood","2/10/2015","","NG MEI CARMAN"
"F23","LUNG PING & SHEUNG PAK TIN","CHENG Chi-hong","","M","Telecom Consultant","","14/10/2015","","CHENG CHI HONG"
"G01","MA TAU WAI","MOK Ka-han Rosanda","","F","District Council Member","ADPL","2/10/2015","","MOK KA HAN ROSANDA"
"G01","MA TAU WAI","SIU Tin-hung","Terence","M","","DAB","2/10/2015","","SIU TIN HUNG"
"G02","MA HANG CHUNG","LAI Kwong-wai","","M","District Coordinator","ADPL","2/10/2015","","LAI KWONG WAI"
"G02","MA HANG CHUNG","WONG Yun-cheong","","M","Elected District Council Member","HKFTU","3/10/2015","","WONG YUN CHEONG"
"G02","MA HANG CHUNG","LAU Shu-yin","","F","Community Officer","","14/10/2015","","LAU SHU YIN"
"G03","MA TAU KOK","KWAN Ho-yeung","","M","","DAB","2/10/2015","","KWAN HO YEUNG"
"G03","MA TAU KOK","AU Wing-ho","","M","","","15/10/2015","","AU WING HO"
"G04","LOK MAN","YANG Wing-kit","","M","District Councilor","","2/10/2015","","YANG WING KIT"
"G04","LOK MAN","PONG Yat-ming","","M","","","15/10/2015","","PONG YAT MING"
"G05","SHEUNG LOK","WONG Wing-kit","","M","Community Officer","Hong Kong Association for Democracy and People¡¦s Livelihood","2/10/2015","","WONG WING KIT"
"G05","SHEUNG LOK","LUK King-kwong","","M","Solicitor","DAB","2/10/2015","","LUK KING KWONG"
"G05","SHEUNG LOK","CHAN Ka-ling Judy","","F","","","3/10/2015","","CHAN KA LING JUDY"
"G06","HO MAN TIN","CHENG Lee-ming","","M","Associate Professor","","2/10/2015","","CHENG LEE MING"
"G06","HO MAN TIN","CHAN Lai-kwan","","F","*","The Democratic Party","13/10/2015","","CHAN LAI KWAN"
"G07","KADOORIE","SIU Leong-sing","","M","District Councilor","ADPL","2/10/2015","","SIU LEONG SING"
"G07","KADOORIE","WONG Chi","","M","","","2/10/2015","","WONG CHI"
"G07","KADOORIE","LAU Hok-wai","","M","Social Worker","","7/10/2015","","LAU HOK WAI"
"G08","PRINCE","LEE Chi-fai","","M","","Restore Hong Kong","10/10/2015","Withdrawn on 15.10.2015","LEE CHI FAI"
"G08","PRINCE","TING Kin-wa","","M","Director of Educational Institution","Independent Candidate","15/10/2015","","TING KIN WA"
"G09","KOWLOON TONG","HO Hin-ming","","M","District Councilor","Liberal Party","8/10/2015","","HO HIN MING"
"G10","LUNG SHING","WONG Man-sing","","M","","","2/10/2015","","WONG MAN SING"
"G10","LUNG SHING","NG Po-keung","","M","Vice-coordinator","DAB","2/10/2015","","NG PO KEUNG"
"G11","SUNG WONG TOI","YEUNG Chun-yu","","M","District Councilor","ADPL","2/10/2015","","YEUNG CHUN YU"
"G11","SUNG WONG TOI","CHENG Chun-wah Gary","","M","Chief Executive Officer","The Hong Kong Federation of Trade Unions","3/10/2015","","CHENG CHUN WAH GARY"
"G11","SUNG WONG TOI","IP Chi-wai Alexander","","M","Designer","","12/10/2015","","IP CHI WAI ALEXANDER"
"G12","KAI TAK NORTH","LI Ting-fung","","M","Community Officer","Hong Kong Association for Democracy and People¡¦s Livelihood","2/10/2015","","LI TING FUNG"
"G12","KAI TAK NORTH","LEUNG Yuen-ting","","F","","","2/10/2015","","LEUNG YUEN TING"
"G12","KAI TAK NORTH","LAM Hei-ting Miranda","","F","","","7/10/2015","","LAM HEI TING MIRANDA"
"G12","KAI TAK NORTH","CHAN Po-yuk","","F","","","8/10/2015","","CHAN PO YUK"
"G12","KAI TAK NORTH","SUN Chao-hang","","M","","","14/10/2015","Withdrawn on 15.10.2015","SUN CHAO HANG"
"G13","KAI TAK SOUTH","HE Huahan","","M","","","2/10/2015","","HE HUAHAN"
"G13","KAI TAK SOUTH","SO Yee-man","","F","Assistant of Legislative Councilor","The Democratic Party","5/10/2015","","SO YEE MAN"
"G14","HOI SHAM","PUN Kwok-wah","","M","","DAB","2/10/2015","","PUN KWOK WAH"
"G14","HOI SHAM","LEE Ka-wai","","M","","","15/10/2015","","LEE KA WAI"
"G15","TO KWA WAN NORTH","LEE Wai-king Starry","","F","Councilor/Accountant","DAB","6/10/2015","","LEE WAI KING STARRY"
"G15","TO KWA WAN NORTH","SHUM Tai-fung","","M","","","14/10/2015","","SHUM TAI FUNG"
"G15","TO KWA WAN NORTH","LAM Yi-lai","","F","","","15/10/2015","","LAM YI LAI"
"G16","TO KWA WAN SOUTH","LAM Pok","","M","","","2/10/2015","","LAM POK"
"G16","TO KWA WAN SOUTH","CHONG Lai-ling","","F","","The Democratic Party","12/10/2015","","CHONG LAI LING"
"G17","HOK YUEN LAGUNA VERDE","YUE Chee-wing Admond","","M","Businessman","","2/10/2015","","YUE CHEE WING ADMOND"
"G17","HOK YUEN LAGUNA VERDE","SIU Yuen-sheung","","F","District Councillor","DAB","2/10/2015","","SIU YUEN SHEUNG"
"G17","HOK YUEN LAGUNA VERDE","YEUNG Ke-cheong","","M","Policy Researcher","","10/10/2015","","YEUNG KE CHEONG"
"G18","WHAMPOA EAST","LEUNG Mei-fun","","F","Barrister-at-law/Associate Law Professor","Kowloon West New Dynamic/BPA Services Company Limited","2/10/2015","","LEUNG MEI FUN"
"G18","WHAMPOA EAST","YAU Wai-ching","","F","","Youngspiration","9/10/2015","","YAU WAI CHING"
"G18","WHAMPOA EAST","LAW Shek-ming","","M","Founding Director/PhD Co-Supervisor","","12/10/2015","","LAW SHEK MING"
"G19","WHAMPOA WEST","LAU Wai-wing","","M","Full-Time District Councillor","","2/10/2015","","LAU WAI WING"
"G19","WHAMPOA WEST","KWONG Po-yin","","F","Doctor","Youngspiration","9/10/2015","","KWONG PO YIN"
"G20","HUNG HOM BAY","CHIU Shi-shun","","M","Community Organizer","Labour Party","2/10/2015","","CHIU SHI SHUN"
"G20","HUNG HOM BAY","CHEUNG Yan-hong","","M","Engineer","","2/10/2015","","CHEUNG YAN HONG"
"G20","HUNG HOM BAY","FUNG King-man Virginia","","F","","","2/10/2015","","FUNG KING MAN VIRGINIA"
"G20","HUNG HOM BAY","LI Calvin Kam-cheong","","M","","","13/10/2015","","LI CALVIN KAM CHEONG"
"G21","HUNG HOM","YUM Kwok-tung Pius","","M","","ADPL","2/10/2015","","YUM KWOK TUNG PIUS"
"G21","HUNG HOM","LAM Tak-shing","","M","","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","LAM TAK SHING"
"G21","HUNG HOM","WONG Chi-keung","","M","","","15/10/2015","","WONG CHI KEUNG"
"G22","KA WAI","LO Chiu-kit","","M","Lawyer","","2/10/2015","","LO CHIU KIT"
"G22","KA WAI","CHAN Shu-han","","F","","","10/10/2015","Withdrawn on 15.10.2015","CHAN SHU HAN"
"G23","OI MAN","NG Fan-kam","","M","","DAB","2/10/2015","","NG FAN KAM"
"G23","OI MAN","MA Hei-pang","","M","","The Democratic Party","13/10/2015","","MA HEI PANG"
"G24","OI CHUN","CHO Wui-hung","","M","District Councillor","","2/10/2015","","CHO WUI HUNG"
"G24","OI CHUN","CHAN Yau-cheong","","M","","Civic Party","5/10/2015","","CHAN YAU CHEONG"
"H01","LUNG TSUI","YEUNG Man-sek Edmond","Bonbon","M","Chairman of Charities","Independent","5/10/2015","","YEUNG MAN SEK EDMOND"
"H01","LUNG TSUI","LEE Tung-kong","","M","Chartered Financial Practitioner","Independent Candidate","5/10/2015","","LEE TUNG KONG"
"H01","LUNG TSUI","TSANG Cheuk-kuen Jackal","","M","Tourism","Independent","6/10/2015","","TSANG CHEUK KUEN JACKAL"
"H02","LUNG HA","LEE Yim-hung","","M","Assistant Secretary","","2/10/2015","","LEE YIM HUNG"
"H02","LUNG HA","KWOK Sau-ying","","F","Full-time District Councillor","*Independent","2/10/2015","","KWOK SAU YING"
"H03","LUNG SHEUNG","LAM Man-fai","","M","Teacher","","2/10/2015","","LAM MAN FAI"
"H03","LUNG SHEUNG","LAM Wai-kei","Ricky","M","","Democratic Party","5/10/2015","","LAM WAI KEI"
"H03","LUNG SHEUNG","CHOW Lai-cheong","","M","Electrical Engineers","Independent","7/10/2015","","CHOW LAI CHEONG"
"H04","FUNG WONG","WONG Kam-chiu","","M","Director","","2/10/2015","","WONG KAM CHIU"
"H04","FUNG WONG","CHAN Yim-kwong Joe","","M","Full Time District Councillor","","2/10/2015","","CHAN YIM KWONG JOE"
"H04","FUNG WONG","WONG Tsz-hang","","M","Solicitor","Non-affiliated Candidate","14/10/2015","withdrawn on 15.10.2015","WONG TSZ HANG"
"H05","FUNG TAK","KAN Chi-ho","","M","Administrator","DAB","2/10/2015","","KAN CHI HO"
"H05","FUNG TAK","WONG Kwok-keung","","M","Elevator Quality Control","Independent","8/10/2015","","WONG KWOK KEUNG"
"H06","LUNG SING","NGOK King-fun","","M","*C.M. Pharmacy Manager","*Independent","2/10/2015","","NGOK KING FUN"
"H06","LUNG SING","TAM Heung-man","","F","Accountant/District Councilor","The Frontier","7/10/2015","","TAM HEUNG MAN"
"H06","LUNG SING","LAM Joseph Chok","","M","Barrister","","10/10/2015","","LAM JOSEPH CHOK"
"H06","LUNG SING","HO Wai-kuen","","M","Clerk","Non-affiliated Candidate","15/10/2015","","HO WAI KUEN"
"H07","SAN PO KONG","LUI Kai-lin Wendy","","F","*Administrative Supervisor","*Independent Candidate","2/10/2015","","LUI KAI LIN WENDY"
"H07","SAN PO KONG","WAT Ki-on","","M","Retired Civil Servant","Independent Candidate","14/10/2015","","WAT KI ON"
"H08","TUNG TAU","LI Tak-hong","","M","Full Time District Councillor","DAB","2/10/2015","","LI TAK HONG"
"H08","TUNG TAU","CHEUNG Pak-hang","","M","","Independent","14/10/2015","","CHEUNG PAK HANG"
"H09","TUNG MEI","WONG Kwok-yan","","M","Solicitor","DAB","2/10/2015","","WONG KWOK YAN"
"H09","TUNG MEI","SZE Tak-loy","","M","Registered Social Worker","ADPL","5/10/2015","","SZE TAK LOY"
"H10","LOK FU","CHAN Wai-kwan Andie","","M","Full Time District Councillor","","2/10/2015","","CHAN WAI KWAN ANDIE"
"H10","LOK FU","YUEN Yuet-hing","","F","Retired","Independent Candidate","13/10/2015","","YUEN YUET HING"
"H11","WANG TAU HOM","LAI Wing-ho Joe","","M","","DAB","2/10/2015","","LAI WING HO JOE"
"H12","TIN KEUNG","LEE Ho-yin Raymond","","M","Project Executive","Civic Party","7/10/2015","","LEE HO YIN RAYMOND"
"H12","TIN KEUNG","CHAN On-tai","","M","District Councilor/Director","Liberal Party","8/10/2015","","CHAN ON TAI"
"H13","TSUI CHUK & PANG CHING","SO Sik-kin","","M","District Councillor","Independent Candidate","2/10/2015","","SO SIK KIN"
"H13","TSUI CHUK & PANG CHING","CHAN Ying Leonard","","M","Director","*Independent Candidate","2/10/2015","","CHAN YING LEONARD"
"H13","TSUI CHUK & PANG CHING","LEE Ka-hing","","M","Financial Consultant","Independent Candidate","13/10/2015","","LEE KA HING"
"H14","CHUK YUEN SOUTH","HUI Kam-shing","","M","Centre Director","Hong Kong Association for Democracy and People's Livelihood","2/10/2015","","HUI KAM SHING"
"H14","CHUK YUEN SOUTH","CHAN Chak-sum","","M","Secretary","The Hong Kong Federation of Trade Unions","2/10/2015","","CHAN CHAK SUM"
"H15","CHUK YUEN NORTH","TING Chi-wai Roy","","M","Company Director","Independent Candidate","9/10/2015","","TING CHI WAI ROY"
"H15","CHUK YUEN NORTH","CHAN Kit-bing","Ice","F","*H.K.A.T.","People Power","12/10/2015","","CHAN KIT BING"
"H16","TSZ WAN WEST","YUEN Kwok-keung","","M","District Councillor","DAB","2/10/2015","","YUEN KWOK KEUNG"
"H16","TSZ WAN WEST","YUNG Sing-kwong","","M","*Retired Senior Postman","The Democratic Party","5/10/2015","","YUNG SING KWONG"
"H16","TSZ WAN WEST","LEUNG Yau-king","","M","","Civic Passion","13/10/2015","","LEUNG YAU KING"
"H17","CHING OI","CHAN Man-ki Maggie","","F","Solicitor","DAB","2/10/2015","","CHAN MAN KI MAGGIE"
"H17","CHING OI","MAK Tsz-ho","","M","Laboratory Technician","Tsz Wan Shan Constructive Power","12/10/2015","","MAK TSZ HO"
"H18","CHING ON","WONG Yat-yuk","","M","Elected District Council Member","*Independent","6/10/2015","","WONG YAT YUK"
"H19","TSZ WAN EAST","HO Hon-man","","M","Full Time District Councillor","DAB","2/10/2015","","HO HON MAN"
"H19","TSZ WAN EAST","TAM Chun-man","","M","Assistant Project Manager","Tsz Wan Shan Constructive Power","13/10/2015","","TAM CHUN MAN"
"H20","KING FU","WONG Chun-kin","","M","Certified Financial Organizer","FTU","2/10/2015","","WONG CHUN KIN"
"H20","KING FU","WU Chi-wai","","M","Legislative Councillor","The Democratic Party","5/10/2015","","WU CHI WAI"
"H21","CHOI WAN EAST","CHOY Tsz-kin Timothy","","M","LegCo Member Assistant","DAB","2/10/2015","","CHOY TSZ KIN TIMOTHY"
"H21","CHOI WAN EAST","LOK Wai-chuen","","M","Security Personnel","","13/10/2015","","LOK WAI CHUEN"
"H21","CHOI WAN EAST","WONG Kwok-tung","","M","Solicitor","The Democratic Party","13/10/2015","","WONG KWOK TUNG"
"H22","CHOI WAN SOUTH","LI Mei-lan","","F","*Certified Financial Organizer","DAB","2/10/2015","","LI MEI LAN"
"H22","CHOI WAN SOUTH","SHUM Wan-wa","","M","Trainee Solicitor","The Democratic Party","5/10/2015","","SHUM WAN WA"
"H23","CHOI WAN WEST","TAM Mei-po","","F","*District Councillor","FTU/DAB","2/10/2015","","TAM MEI PO"
"H23","CHOI WAN WEST","TSE Chi-kit","","M","Registered Social Worker","The Democratic Party","5/10/2015","","TSE CHI KIT"
"H24","CHI CHOI","HO Yin-fai","","M","Elected District Council Member","FTU/DAB","2/10/2015","","HO YIN FAI"
"H24","CHI CHOI","WU Chi-kin","","M","*Assistant to Councilor","The Democratic Party","5/10/2015","","WU CHI KIN"
"H25","CHOI HUNG","MOK Kin-wing","","M","Elected DC Member","FTU","2/10/2015","","MOK KIN WING"
"H25","CHOI HUNG","LEUNG Tat-por","","M","Hotel Management Officer","Independent","12/10/2015","","LEUNG TAT POR"
"J01","KWUN TONG CENTRAL","CHAN Wah-yu Nelson","","M","Principal","","8/10/2015","","CHAN WAH YU NELSON"
"J02","KOWLOON BAY","POON YAM Wai-chun Winnie","","F","District Councilor","","2/10/2015","","POON YAM WAI CHUN WINNIE"
"J03","KAI YIP","AU YEUNG Kwan-nok","","M","","DAB","2/10/2015","","AU YEUNG KWAN NOK"
"J03","KAI YIP","LAM Sing","","M","Community Officer","The Democratic Party","13/10/2015","","LAM SING"
"J04","LAI CHING","BUX Sheik Anthony","","M","Chief Executive","Civic Party","2/10/2015","","BUX SHEIK ANTHONY"
"J04","LAI CHING","POON Chun-yuen","","M","District Councillor","DAB","2/10/2015","","POON CHUN YUEN"
"J05","PING SHEK","CHAN Chun-kit","","M","District Council Member","DAB","2/10/2015","","CHAN CHUN KIT"
"J06","SHEUNG CHOI","TAM Siu-cheuk","","M","District Councillor","DAB","2/10/2015","","TAM SIU CHEUK"
"J07","JORDAN VALLEY","NGAN Man-yu","","M","District Councillor","DAB","2/10/2015","","NGAN MAN YU"
"J07","JORDAN VALLEY","WONG Wai-tag","","M","Councilor Assistant","Democratic Party","5/10/2015","","WONG WAI TAG"
"J08","SHUN TIN","KWOK Bit-chun","Benjamin","M","Manager of Financial Advisors","DAB","2/10/2015","","KWOK BIT CHUN"
"J08","SHUN TIN","MOK Kin-shing","","M","R.S.W./Community Officer","Democratic Party","5/10/2015","","MOK KIN SHING"
"J09","SHEUNG SHUN","FU Pik-chun","","F","","","2/10/2015","","FU PIK CHUN"
"J10","ON LEE","LEUNG Tang-fung","","M","","DAB","2/10/2015","","LEUNG TANG FUNG"
"J10","ON LEE","CHOY Chak-hung","","M","","","5/10/2015","","CHOY CHAK HUNG"
"J10","ON LEE","CHO Kai-fai","","M","","","15/10/2015","","CHO KAI FAI"
"J11","PO TAT","HUNG Kam-in","","M","District Councillor","DAB","2/10/2015","","HUNG KAM IN"
"J11","PO TAT","TAM Ho-lam","","M","Free Lance","","15/10/2015","","TAM HO LAM"
"J12","SAU MAU PING NORTH","WONG Chun-ping","","M","District Councillor","","2/10/2015","","WONG CHUN PING"
"J13","HIU LAI","SO Lai-chun","","F","District Councilor","Independent Candidate","2/10/2015","","SO LAI CHUN"
"J13","HIU LAI","FUNG Kwok-keung Bonhoeffer","","M","","","15/10/2015","","FUNG KWOK KEUNG BONHOEFFER"
"J14","SAU MAU PING SOUTH","CHAN Yiu-hung Jimmy","","M","Director","Independent","2/10/2015","","CHAN YIU HUNG JIMMY"
"J14","SAU MAU PING SOUTH","KAI Ming-wah","","M","","*The Democratic Party","5/10/2015","","KAI MING WAH"
"J14","SAU MAU PING SOUTH","CHENG Kwok-chun","","M","","Kowloon East Community","9/10/2015","","CHENG KWOK CHUN"
"J15","SAU MAU PING CENTRAL","CHEUNG Pui-kong","","M","","","2/10/2015","","CHEUNG PUI KONG"
"J16","HING TIN","LO Ching","","F","","FTU","2/10/2015","","LO CHING"
"J16","HING TIN","CHAN Man-kin","","M","","The Democratic Party","5/10/2015","","CHAN MAN KIN"
"J17","LAM TIN","KAN Ming-tung","","M","Elected District Council Member","FTU","2/10/2015","","KAN MING TUNG"
"J17","LAM TIN","YAU Mei-po","","F","Logistics Manager","","8/10/2015","","YAU MEI PO"
"J18","KWONG TAK","OR Chong-shing Wilson","","M","","DAB","2/10/2015","","OR CHONG SHING WILSON"
"J19","PING TIN","NG Chi-fai","","M","Chef","","8/10/2015","","NG CHI FAI"
"J19","PING TIN","YIU Pak-leung","","M","Executive","Independent Candidate","8/10/2015","","YIU PAK LEUNG"
"J20","PAK NGA","CHAN Yu-ming","","M","Software Engineer","Civic Party","2/10/2015","","CHAN YU MING"
"J20","PAK NGA","HO Kai-ming","","M","Elected District Council Member","FTU","2/10/2015","","HO KAI MING"
"J20","PAK NGA","YU Sui-sang","","M","Senior Sales Manager","","15/10/2015","","YU SUI SANG"
"J21","YAU TONG EAST","CHEUNG Ki-tang","","M","","DAB","2/10/2015","","CHEUNG KI TANG"
"J22","YAU LAI","LAI Shu-ho Patrick","","M","District Councillor","Independent","3/10/2015","","LAI SHU HO PATRICK"
"J22","YAU LAI","CHENG Wah-tung Francis","","M","","","5/10/2015","","CHENG WAH TUNG FRANCIS"
"J22","YAU LAI","HON Ka-ming","","M","Social Worker","The Democratic Party","10/10/2015","","HON KA MING"
"J23","CHUI CHEUNG","TSE Suk-chun","","F","","","2/10/2015","","TSE SUK CHUN"
"J23","CHUI CHEUNG","WONG Kai-san","","M","","Hong Kong Federation of Trade Unions","2/10/2015","","WONG KAI SAN"
"J24","YAU TONG WEST","LUI Tung-hai","","M","","Independent Candidate","2/10/2015","","LUI TUNG HAI"
"J25","LAGUNA CITY","TAM Man-ho Jeremy Jansen","","M","Airline Pilot","Civic Party","2/10/2015","","TAM MAN HO JEREMY JANSEN"
"J25","LAGUNA CITY","TANG Wing-chun","","M","Environmental Consultant","Independent","7/10/2015","","TANG WING CHUN"
"J26","KING TIN","TONG Dick-kan","","M","Court Liaison Officer","Civic Party","2/10/2015","","TONG DICK KAN"
"J26","KING TIN","CHEUNG Shun-wah","","M","District Counc.","","2/10/2015","","CHEUNG SHUN WAH"
"J27","TSUI PING","CHENG Keung-fung","","M","Community Service Worker","The Federation of Public Housing Estates","2/10/2015","","CHENG KEUNG FUNG"
"J27","TSUI PING","LAM Ho-chun Carol","","F","","People Power/The Frontier","9/10/2015","","LAM HO CHUN CAROL"
"J28","PO LOK","LAU Ting-on","","M","","","2/10/2015","","LAU TING ON"
"J28","PO LOK","CHENG Keng-ieong","","M","Assistant of Legislative Councilor","The Democratic Party","5/10/2015","","CHENG KENG IEONG"
"J29","YUET WAH","HSU Hoi-shan","","M","Director","Independent Candidate","8/10/2015","","HSU HOI SHAN"
"J29","YUET WAH","CHAN Kam-wai","","M","Lecturer","","15/10/2015","","CHAN KAM WAI"
"J30","HIP HONG","CHAN Chung-bun Bunny","","M","Executive Director","","8/10/2015","","CHAN CHUNG BUN BUNNY"
"J30","HIP HONG","CHAU Chung-ping","","M","","","13/10/2015","","CHAU CHUNG PING"
"J30","HIP HONG","WONG Yi-ting Edith","","F","Administrative Officer","","14/10/2015","","WONG YI TING EDITH"
"J31","HONG LOK","MA Yat-chiu","","M","Managing Director/District Councillor","Independent Candidate","8/10/2015","","MA YAT CHIU"
"J31","HONG LOK","CHAN Chak-to","","M","Engineer","Kowloon East Community","9/10/2015","","CHAN CHAK TO"
"J32","TING ON","KAM Kin","","F","","","2/10/2015","","KAM KIN"
"J32","TING ON","WONG Kai-ming","","M","","Democratic Party","5/10/2015","","WONG KAI MING"
"J33","UPPER NGAU TAU KOK ESTATE","CHAN Kok-wah Ben","","M","Full Time District Councillor","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","CHAN KOK WAH BEN"
"J33","UPPER NGAU TAU KOK ESTATE","LUI Chi-hang Hendrick","","M","Social Worker","","12/10/2015","","LUI CHI HANG HENDRICK"
"J34","LOWER NGAU TAU KOK ESTATE","CHEUNG Yiu-pan","","M","","DAB","2/10/2015","","CHEUNG YIU PAN"
"J34","LOWER NGAU TAU KOK ESTATE","WONG Ching-fung","","M","Assistant to Councilor","The Democratic Party","5/10/2015","","WONG CHING FUNG"
