"ConstituencyCode","Constituency","Nominate","NominateAlias","Gender","Occupation","Politics","NominateDate","Remarks","Candidate"
"D12","¸m´I","«ÀªQª¢","","¨k","°Æ±Ð±Â","","2015¦~10¤ë7¤é","","«ÀªQª¢"
"D13","¥ÐÆW","³¯´I©ú","","¨k","*°ÏÄ³­û/¤½¥q¸³¨Æ","*¿W¥ß­Ô¿ï¤H","2015¦~10¤ë8¤é","","³¯´I©ú"
"D14","¥Ûº®","¦¶¥ß«Â","","¨k","°ÏÄ³­û","¥Á«ØÁp","2015¦~10¤ë2¤é","","¦¶¥ß«Â"
"D15","¶À¦Ë§|","³¯ºa®¦","","¤k","*Ä³­û§U²z","*­»´ä¤u·|Áp¦X·|","2015¦~10¤ë2¤é","","³¯ºa®¦"
"D15","¶À¦Ë§|","®}»·µØ","","¨k","¥þÂ¾°ÏÄ³­û","¥Á¥DÄÒ","2015¦~10¤ë2¤é","","®}»·µØ"
"D16","®üÆW","SCHAUS David John","","¨k","","","2015¦~10¤ë2¤é","","SCHAUS DAVID JOHN"
"D16","®üÆW","¶¾¥K¯Ñ","","¨k","","¦Û¥ÑÄÒ","2015¦~10¤ë5¤é","","¶¾¥K¯Ñ"
"D17","¨ª¬W¤Î¥Û¿D","«À¼ä¾®","","¤k","¨£²ß²£·~´ú¶q®v","","2015¦~10¤ë2¤é","","«À¼ä¾®"
"D17","¨ª¬W¤Î¥Û¿D","§õ¨Ø­^","³¯§õ¨Ø­^","¤k","¸³¨Æ","","2015¦~10¤ë2¤é","","§õ¨Ø­^(³¯§õ¨Ø­^)"
"D17","¨ª¬W¤Î¥Û¿D","´¿±êÀÚ","","¨k","¤½¥q¸³¨Æ","¦Û¥ÑÄÒ","2015¦~10¤ë15¤é","","´¿±êÀÚ"
"E01","¦y¨F©C¦è","¤Õ¬LµØ","","¨k","*¤½¥q¸³¨Æ/°ÏÄ³­û","¥Á«ØÁp","2015¦~10¤ë9¤é","","¤Õ¬LµØ"
"E01","¦y¨F©C¦è","¼B§Ó¶¯","","¨k","ªª®v","","2015¦~10¤ë12¤é","","¼B§Ó¶¯"
"E02","¦õ´°«n","¸­¶Æ¥V","","¨k","·s»D¦æ¬F¤H­û/°ÏÄ³­û","¥Á«ØÁp","2015¦~10¤ë9¤é","","¸­¶Æ¥V"
"E02","¦õ´°«n","¹p¶®»ö","","¤k","","­»´äÃöª`·|","2015¦~10¤ë15¤é","","¹p¶®»ö"
"E03","¦õ´°¦è","³¯¤Ö´Å","","¨k","*°ÏÄ³­û/°Ó¤H","¥Á«ØÁp","2015¦~10¤ë9¤é","","³¯¤Ö´Å"
"E04","ªo³Â¦a«n","¼Ú¶§ªF","","¨k","¥Á¨óªÀ°Ï¥D¥ô","­»´ä¥Á¥D¥Á¥Í¨ó¶i·|","2015¦~10¤ë6¤é","","¼Ú¶§ªF"
"E04","ªo³Â¦a«n","·¨¤lº³","","¨k","°ÏÄ³­û","¥Á«ØÁp","2015¦~10¤ë9¤é","","·¨¤lº³"
"E05","´Iºa","§õ°¶®p","","¨k","¥ßªk·|Ä³­û§U²z","¥Á¥DÄÒ","2015¦~10¤ë7¤é","","§õ°¶®p"
"E05","´Iºa","Áé´äªZ","","¨k","°ÏÄ³­û","¥Á«ØÁp","2015¦~10¤ë9¤é","","Áé´äªZ"
"E06","©ô¨¤¦è","³\¼w«G","","¨k","*°ÏÄ³­û","","2015¦~10¤ë2¤é","","³\¼w«G"
"E07","´I¬f","§E¼wÄ_","","¨k","¥þÂ¾¦a°Ïµo®i¥D¥ô","¤½¥ÁÄÒ","2015¦~10¤ë5¤é","","§E¼wÄ_"
"E07","´I¬f","Ã¹¤Ö¶¯","","¨k","¦æ¬FÁ`µô","¿W¥ß­Ô¿ï¤H","2015¦~10¤ë8¤é","","Ã¹¤Ö¶¯"
"E08","¶ø¹B","°ª¾åºa","","¨k","¤½¥q¸³¨Æ","¿W¥ß­Ô¿ï¤H","2015¦~10¤ë2¤é","","°ª¾åºa"
"E08","¶ø¹B","Ò\ÂÔ¥Ó","","¨k","¥ßªk·|Ä³­û/«ß®v","¥Á¥DÄÒ","2015¦~10¤ë7¤é","","Ò\ÂÔ¥Ó"
"E09","Äå®ç","Áé¿A·u","","¨k","","","2015¦~10¤ë2¤é","","Áé¿A·u"
"E09","Äå®ç","ªL¯E´­","","¨k","Á`·F¨Æ(ªÀ¤u)","¥Á¥DÄÒ","2015¦~10¤ë7¤é","","ªL¯E´­"
"E09","Äå®ç","¤¤¥X¦Ï¤l","¬L©ú¤½¥D","¨k","ªÀ¥æ(ºôµ¸)¬õ¤H","­»´ä«°¨¹¬Ó«Ç","2015¦~10¤ë15¤é","","¤¤¥X¦Ï¤l(¬L©ú¤½¥D)"
"E10","¤j¨¤©C«n","½²¤Ö®p","","¨k","","¥Á«ØÁp","2015¦~10¤ë9¤é","","½²¤Ö®p"
"E10","¤j¨¤©C«n","¾¤Ä£Â@","","¨k","µù¥U·|­p®v","«C¦~·s¬F","2015¦~10¤ë9¤é","","¾¤Ä£Â@"
"E11","¤j¨¤©C¥_","¤ý¹Å¬Õ","","¤k","±M·~·|­p®v","¤½¥ÁÄÒ","2015¦~10¤ë5¤é","","¤ý¹Å¬Õ"
"E11","¤j¨¤©C¥_","¼B¬f¸R","","¨k","*°ÏÄ³­û/ªÀ°Ï¤u§@ªÌ","¥Á«ØÁp","2015¦~10¤ë9¤é","","¼B¬f¸R"
"E12","¤j«n","²ø¥ÃÀé","","¨k","«ß®v","¦è¤E·s°Ê¤O/¸g¥ÁÁp","2015¦~10¤ë7¤é","","²ø¥ÃÀé"
"E12","¤j«n","»¯¦°¥ú","","¨k","µù¥UÅ@¤h","«C¦~·s¬F","2015¦~10¤ë12¤é","","»¯¦°¥ú"
"E12","¤j«n","¶¾¤åÃü","","¨k","ªÀ°Ï¥D¥ô","¥Á¥DÄÒ","2015¦~10¤ë13¤é","","¶¾¤åÃü"
"E13","©ô¨¤¥_","¶ÀµÎ©ú","","¤k","¥þÂ¾°ÏÄ³­û","¦è¤E·s°Ê¤O","2015¦~10¤ë8¤é","","¶ÀµÎ©ú"
"E13","©ô¨¤¥_","¶À®a«T","","¨k","¤¤¾Ç¦Ñ®v","«C¦~·s¬F","2015¦~10¤ë13¤é","","¶À®a«T"
"E14","©ô¨¤ªF","ÁÂ¨ô¨k","","¨k","ª«·~¸g²z¤Î¤uµ{ÅU°Ý","¿W¥ß","2015¦~10¤ë7¤é","","ÁÂ¨ô¨k"
"E14","©ô¨¤ªF","¼B«T·~","","¨k","ªÀ°Ï¥D¥ô","¥Á¥DÄÒ","2015¦~10¤ë12¤é","","¼B«T·~"
"E14","©ô¨¤ªF","¶À«Ø·s","","¨k","°ÏÄ³­û/¬Fµ¦¬ã¨s­û","","2015¦~10¤ë14¤é","","¶À«Ø·s"
"E15","©ô¨¤«n","¤³®¶½÷","","¨k","¸g²z","","2015¦~10¤ë2¤é","","¤³®¶½÷"
"E16","ªo³Â¦a¥_","ªL°·¤å","","¨k","«ß®v","¥Á¨ó","2015¦~10¤ë2¤é","","ªL°·¤å"
"E16","ªo³Â¦a¥_","¤å¼íµØ","","¨k","ªÀ°Ï¤u§@ªÌ","*¤uÁp·|","2015¦~10¤ë2¤é","","¤å¼íµØ"
"E17","¦yªF¤Î¨Ê¤h¬f","¾H»Ê¤ß","","¤k","¤g¤ì¤uµ{®v","","2015¦~10¤ë2¤é","","¾H»Ê¤ß"
"E17","¦yªF¤Î¨Ê¤h¬f","³¯¤å¦ö","","¨k","ºÞ²zÅU°Ý","¤½¦@±M·~Áp·ù","2015¦~10¤ë13¤é","","³¯¤å¦ö"
"E18","¦y¨F©C¤¤","¥[§Q","","¨k","¸³¨Æ","","2015¦~10¤ë7¤é","2015¦~10¤ë15¤é°h¿ï","¥[§Q"
"E18","¦y¨F©C¤¤","Ãö¨q¬Â","","¤k","°ÏÄ³­û","¥Á«ØÁp","2015¦~10¤ë9¤é","","Ãö¨q¬Â"
"E18","¦y¨F©C¤¤","¹ù¤Ö½÷","","¨k","°Ó¤H","","2015¦~10¤ë9¤é","","¹ù¤Ö½÷"
"E19","¦õ´°¥_","·¨ÂíµØ","","¨k","¬ì§Þ¤½¥q³Ð¿ì¤H","¥Á«ØÁp","2015¦~10¤ë9¤é","","·¨ÂíµØ"
"E19","¦õ´°¥_","±­§Ó¨}","±­®v³Å","¨k","¦a½L°vªO¤u¤H","","2015¦~10¤ë14¤é","","±­§Ó¨}(±­®v³Å)"
"F01","Ä_ÄR","ÁÂ¾å­i","","¤k","ªÀ°Ï¥D¥ô","*²`¤ô<U+57D7>©~¥ÁÁp·|","2015¦~10¤ë2¤é","","ÁÂ¾å­i"
"F01","Ä_ÄR","±ç¦³¤è","","¨k","¥þÂ¾°ÏÄ³­û","¥Á¨ó","2015¦~10¤ë5¤é","","±ç¦³¤è"
"F02","ªø¨FÆW","ªL®a½÷","","¨k","«Ç¤º³]­p¤uµ{ÅU°Ý","¸g¥ÁÁp/¦è¤E·s°Ê¤O","2015¦~10¤ë2¤é","","ªL®a½÷"
"F02","ªø¨FÆW","§õ¤å¯E","","¨k","","ªø¨FÆWªÀ°Ïµo®i¤O¶q","2015¦~10¤ë5¤é","","§õ¤å¯E"
"F02","ªø¨FÆW","ªL·ç§t","","¤k","°ò¼h²ÕÂ´ªÌ","","2015¦~10¤ë13¤é","","ªL·ç§t"
"F03","«n©÷¥_","¾GªaµÏ","","¨k","ªÀ¥ø°ÆÁ`·F¨Æ/°ÏÄ³­û","¥Á«ØÁp","2015¦~10¤ë2¤é","","¾GªaµÏ"
"F03","«n©÷¥_","³¯¥Ã½÷","½÷¥J","¨k","¹q¸£ºû­×­û","¤H¥Á¤O¶q","2015¦~10¤ë12¤é","","³¯¥Ã½÷(½÷¥J)"
"F04","¥ÛÚÆ§À","³¯°ê°¶","","¨k","µù¥UªÀ¤u","¥ÛÚÆ§À<U+90A8>©~¥ÁªA°È¤¤¤ß/¦è¤E·s°Ê¤O","2015¦~10¤ë2¤é","","³¯°ê°¶"
"F04","¥ÛÚÆ§À","¯³Ä_¤s","","¨k","¥þÂ¾°ÏÄ³­û","¥Á¨ó","2015¦~10¤ë5¤é","","¯³Ä_¤s"
"F05","«n©÷ªF","­]³Í©ú","","¨k","","¥Á«ØÁp","2015¦~10¤ë2¤é","","­]³Í©ú"
"F05","«n©÷ªF","¦ó±Ò©ú","","¨k","","¥Á¨ó","2015¦~10¤ë5¤é","","¦ó±Ò©ú"
"F06","«n©÷«n","§õµú¥Á","","¨k","°ÏÄ³­û","´ä¤E³Ò¤uªÀ¹ÎÁp·|","2015¦~10¤ë2¤é","","§õµú¥Á"
"F06","«n©÷«n","ªL°¶´Å","","¨k","ª«·~ºÞ²z«O¦w¥DºÞ","¯«¦{«C¦~ªA°ÈªÀ/¥Á¥D°}½u","2015¦~10¤ë9¤é","","ªL°¶´Å"
"F07","«n©÷¤¤","¼B¨Ø¥É","","¤k","°ÏÄ³­û/§U²z²ÎÄw¥D¥ô","¥Á«ØÁp","2015¦~10¤ë2¤é","","¼B¨Ø¥É"
"F07","«n©÷¤¤","³Á°¶©ú","","¨k","ªÀ°Ï¥D¥ô","¿W¥ß","2015¦~10¤ë15¤é","","³Á°¶©ú"
"F08","«n©÷¦è","<U+885E>·Ø«n","","¨k","°ÏÄ³­û","¥Á¨ó","2015¦~10¤ë5¤é","","<U+885E>·Ø«n"
"F08","«n©÷¦è","­»©ú§µ","","¨k","ªÀ°Ï¥D¥ô","¿W¥ß­Ô¿ï¤H","2015¦~10¤ë8¤é","","­»©ú§µ"
"F09","´I©÷","§õ¬³","","¨k","ªÀ¤u","¥Á¨ó","2015¦~10¤ë2¤é","","§õ¬³"
"F09","´I©÷","±ç¤å¼s","","¨k","¥þÂ¾°ÏÄ³­û","¦è¤E·s°Ê¤O/´I©÷<U+90A8>©~¥Á¨ó·|/ºa©÷<U+90A8>©~¥ÁªA°È¨ó·|","2015¦~10¤ë2¤é","","±ç¤å¼s"
"F10","ÄR»Õ","³¯¿oªY","","¤k","","¥Á«ØÁp/¤uÁp·|","2015¦~10¤ë2¤é","","³¯¿oªY"
"F10","ÄR»Õ","¶¾ÀË°ò","","¨k","¥ßªk·|Ä³­û","¥Á¨ó","2015¦~10¤ë8¤é","","¶¾ÀË°ò"
"F10","ÄR»Õ","¶À¥ò´Ñ","","¨k","¸ê°T¬ì§Þ¤½¥qºÞ²z¼h","","2015¦~10¤ë14¤é","","¶À¥ò´Ñ"
"F11","©¯ºÖ","±i¼w°¶","","¨k","ªÀ°Ï·F¨Æ","¥Á«ØÁp","2015¦~10¤ë2¤é","","±i¼w°¶"
"F11","©¯ºÖ","¹Q¿oùÚ","","¤k","ªÀ°Ï²ÎÄw¥D¥ô","¥Á¨ó","2015¦~10¤ë5¤é","","¹Q¿oùÚ"
"F12","¯ïªK¨¤«n","³¯«Â¶¯","","¨k","","¥Á«ØÁp","2015¦~10¤ë2¤é","","³¯«Â¶¯"
"F12","¯ïªK¨¤«n","·¨Ñ{","","¨k","µù¥UªÀ¤u","¥Á¨ó","2015¦~10¤ë5¤é","","·¨Ñ{"
"F12","¯ïªK¨¤«n","±ö¦t","","¨k","","","2015¦~10¤ë10¤é","","±ö¦t"
"F13","¬ü§·«n","¶À¹FªF","","¨k","¤½¥q¸³¨Æ","¥Á«ØÁp","2015¦~10¤ë2¤é","","¶À¹FªF"
"F13","¬ü§·«n","¤ý¼w¥þ","","¨k","¸`¥Ø¥D«ù¤ÎºÊ»s","¤½¥ÁÄÒ","2015¦~10¤ë8¤é","","¤ý¼w¥þ"
"F13","¬ü§·«n","´¿ÄR¤å","","¤k","®a®x¥D°ü","","2015¦~10¤ë13¤é","","´¿ÄR¤å"
"F14","¬ü§·¤¤","¥î¤ëÄõ","","¤k","±Ð®v","¤½¥ÁÄÒ","2015¦~10¤ë8¤é","","¥î¤ëÄõ"
"F14","¬ü§·¤¤","¨H¤Ö¶¯","","¨k","¤½¥q¸³¨Æ","¸g¥ÁÁp/¦è¤E·s°Ê¤O","2015¦~10¤ë8¤é","","¨H¤Ö¶¯"
"F14","¬ü§·¤¤","³¯ªQ¥ú","","¨k","ÃÀÅé¤ÎºtÃÀ¾Ç®Õ®Õªø","","2015¦~10¤ë13¤é","","³¯ªQ¥ú"
"F15","¬ü§·¥_","§õ«T±ã","","¨k","¥ßªk·|Ä³­û§U²z","¤½¥ÁÄÒ","2015¦~10¤ë8¤é","","§õ«T±ã"
"F15","¬ü§·¥_","±i¥Ã´Ë","","¨k","«ß®v","¿W¥ß","2015¦~10¤ë9¤é","","±i¥Ã´Ë"
"F16","¯ïªK¨¤¤¤","§õ¸R³{","","¨k","¥þÂ¾°ÏÄ³­û","¸g¥ÁÁp/¦è¤E·s°Ê¤O","2015¦~10¤ë2¤é","","§õ¸R³{"
"F16","¯ïªK¨¤¤¤","°K®ü¤å","","¨k","¯S³\°]¸g¤ÀªR®v","¥Á¥DÄÒ","2015¦~10¤ë2¤é","","°K®ü¤å"
"F17","¯ïªK¨¤¥_","¶À·q","¶À·q³Õ¤h","¨k","±M·~¤uµ{®v","","2015¦~10¤ë2¤é","","¶À·q(¶À·q³Õ¤h)"
"F17","¯ïªK¨¤¥_","µ÷¼w¸Û","","¨k","*¥þÂ¾°ÏÄ³­û","¥Á¨ó","2015¦~10¤ë5¤é","","µ÷¼w¸Û"
"F17","¯ïªK¨¤¥_","­J¥@¥þ","","¨k","","","2015¦~10¤ë7¤é","","­J¥@¥þ"
"F18","¤¸¦{¤ÎÄ¬«Î","³¯°¶©ú","","¨k","¥þÂ¾°ÏÄ³­û","*¥Á«ØÁp","2015¦~10¤ë2¤é","","³¯°¶©ú"
"F18","¤¸¦{¤ÎÄ¬«Î","¤è´¼Às","","¨k","","¼ö¦å¤½¥Á","2015¦~10¤ë13¤é","","¤è´¼Às"
"F19","§õ¾G«Î","³¯Ãè¬î","","¨k","¥þÂ¾°ÏÄ³­û","¦è¤E·s°Ê¤O","2015¦~10¤ë2¤é","","³¯Ãè¬î"
"F19","§õ¾G«Î","¦¿¶Q¥Í","","¨k","µù¥UªÀ¤u","­»´ä¥Á¥D¥Á¥Í¨ó¶i·|","2015¦~10¤ë5¤é","","¦¿¶Q¥Í"
"F20","¤U¥Õ¥Ð","ºÂ±Òºa","","¨k","ªÀ¹Î·F¨Æ","­»´ä¸gÀÙ¥Á¥ÍÁp·ù/¦è¤E·s°Ê¤O","2015¦~10¤ë12¤é","","ºÂ±Òºa"
"F20","¤U¥Õ¥Ð","¾H¬ü´¹","","¤k","","ªÀ·|¥D¸q¦æ°Ê","2015¦~10¤ë12¤é","","¾H¬ü´¹"
"F21","¤S¤@§ø","§õ±ê·q","","¨k","¹q¤l¹s¥ó¤½¥q°õ¦æ¸³¨Æ","¦Û¥ÑÄÒ","2015¦~10¤ë2¤é","","§õ±ê·q"
"F21","¤S¤@§ø","©P¹Åµo","","¨k","ªÀ°Ï¥D¥ô","ªÀ·|¥Á¥D³s½u","2015¦~10¤ë12¤é","","©P¹Åµo"
"F22","«n¤s¡B¤j§|ªF¤Î¤j§|¦è","ÃÓ°ê¹´","","¨k","ªÀ·|ªA°ÈÅU°Ý","¥Á¨ó","2015¦~10¤ë5¤é","","ÃÓ°ê¹´"
"F22","«n¤s¡B¤j§|ªF¤Î¤j§|¦è","­³®ü­^","","¤k","°ÏÄ³­û","¦è¤E·s°Ê¤O","2015¦~10¤ë7¤é","","­³®ü­^"
"F22","«n¤s¡B¤j§|ªF¤Î¤j§|¦è","²Å°¶¼Ö","","¨k","ªÀ°Ï¤¤¤ß·F¨Æ","","2015¦~10¤ë15¤é","","²Å°¶¼Ö"
"F23","Às©W¤Î¤W¥Õ¥Ð","ªL°¶¤å","","¨k","¤u®Æ´ú¶q¸g²z","¤uÁp·|","2015¦~10¤ë2¤é","","ªL°¶¤å"
"F23","Às©W¤Î¤W¥Õ¥Ð","§d¬ü","","¤k","*¥þÂ¾°ÏÄ³­û","­»´ä¥Á¥D¥Á¥Í¨ó¶i·|","2015¦~10¤ë2¤é","","§d¬ü"
"F23","Às©W¤Î¤W¥Õ¥Ð","¾G§Ó±d","","¨k","¹q°TÅU°Ý","","2015¦~10¤ë14¤é","","¾G§Ó±d"
"G01","°¨ÀY³ò","²ö¹Å¼_","","¤k","°ÏÄ³·|Ä³­û","¥Á¨ó","2015¦~10¤ë2¤é","","²ö¹Å¼_"
"G01","°¨ÀY³ò","ªò¤Ñ­i","","¨k","","¥Á«ØÁp","2015¦~10¤ë2¤é","","ªò¤Ñ­i"
"G02","°¨§|¯F","¾¤¼s°¶","","¨k","ªÀ°Ï¥D¥ô","¥Á¨ó","2015¦~10¤ë2¤é","","¾¤¼s°¶"
"G02","°¨§|¯F","¶À¼í©÷","","¨k","¥Á¿ï°ÏÄ³­û","­»´ä¤u·|Áp¦X·|","2015¦~10¤ë3¤é","","¶À¼í©÷"
"G02","°¨§|¯F","¼BµÎ¿P","","¤k","ªÀ°Ï¥D¥ô","","2015¦~10¤ë14¤é","","¼BµÎ¿P"
"G03","°¨ÀY¨¤","Ãö¯E¬v","","¨k","","¥Á«ØÁp","2015¦~10¤ë2¤é","","Ãö¯E¬v"
"G03","°¨ÀY¨¤","°Ï<U+548F>»¨","","¨k","Äá¼v®v","­»´äÃöª`·|","2015¦~10¤ë15¤é","","°Ï<U+548F>»¨"
"G04","¼Ö¥Á","·¨¥ÃªN","","¨k","°ÏÄ³­û","","2015¦~10¤ë2¤é","","·¨¥ÃªN"
"G04","¼Ö¥Á","Ãe¤@»ï","","¨k","±Ð¨|¤u§@ªÌ","","2015¦~10¤ë15¤é","","Ãe¤@»ï"
"G05","±`¼Ö","¶À¥Ã³Ç","","¨k","ªÀ°Ï¥D¥ô","­»´ä¥Á¥D¥Á¥Í¨ó¶i·|","2015¦~10¤ë2¤é","","¶À¥Ã³Ç"
"G05","±`¼Ö","³°«l¥ú","","¨k","«ß®v","¥Á«ØÁp","2015¦~10¤ë2¤é","","³°«l¥ú"
"G05","±`¼Ö","³¯¹Å¬Â","","¤k","","","2015¦~10¤ë3¤é","","³¯¹Å¬Â"
"G06","¦ó¤å¥Ð","¾G§Q©ú","","¨k","°Æ±Ð±Â","","2015¦~10¤ë2¤é","","¾G§Q©ú"
"G06","¦ó¤å¥Ð","³¯ÄR§g","","¤k","*ªÀ°Ïµo®iÅU°Ý","¥Á¥DÄÒ","2015¦~10¤ë13¤é","","³¯ÄR§g"
"G07","¹Å¹D²z","¿½«GÁn","","¨k","¥þÂ¾°ÏÄ³­û","¥Á¨ó","2015¦~10¤ë2¤é","","¿½«GÁn"
"G07","¹Å¹D²z","¶À¹£","","¨k","","","2015¦~10¤ë2¤é","","¶À¹£"
"G07","¹Å¹D²z","¼B¾Ç«Â","","¨k","µù¥UªÀ¤u","","2015¦~10¤ë7¤é","","¼B¾Ç«Â"
"G08","¤Ó¤l","§õ´¼½÷","","¨k","","­×´_­»´ä","2015¦~10¤ë10¤é","2015¦~10¤ë15¤é°h¿ï","§õ´¼½÷"
"G08","¤Ó¤l","¤B°·µØ","","¨k","±Ð¨|¾÷ºcÁ`ºÊ","¿W¥ß­Ô¿ï¤H","2015¦~10¤ë15¤é","","¤B°·µØ"
"G09","¤EÀs¶í","¦óÅã©ú","","¨k","°ÏÄ³­û","¦Û¥ÑÄÒ","2015¦~10¤ë8¤é","","¦óÅã©ú"
"G10","Às«°","¤ý¥ÁÁn","","¨k","","","2015¦~10¤ë2¤é","","¤ý¥ÁÁn"
"G10","Às«°","§dÄ_±j","","¨k","°Æ²ÎÄw¥D¥ô","¥Á«ØÁp","2015¦~10¤ë2¤é","","§dÄ_±j"
"G11","§º¬Ó»O","·¨®¶¦t","","¨k","°ÏÄ³­û","¥Á¨ó","2015¦~10¤ë2¤é","","·¨®¶¦t"
"G11","§º¬Ó»O","¾G®¶µØ","","¨k","","­»´ä¤u·|Áp¦X·|","2015¦~10¤ë3¤é","","¾G®¶µØ"
"G11","§º¬Ó»O","¸­§Ó°¶","","¨k","³]­p®v","","2015¦~10¤ë12¤é","","¸­§Ó°¶"
"G12","<U+5553>¼w¥_","§õ®xÂ×","","¨k","ªÀ°Ï¥D¥ô","­»´ä¥Á¥D¥Á¥Í¨ó¶i·|","2015¦~10¤ë2¤é","","§õ®xÂ×"
"G12","<U+5553>¼w¥_","±ç°û´@","","¤k","","","2015¦~10¤ë2¤é","","±ç°û´@"
"G12","<U+5553>¼w¥_","ªL§Æ´@","","¤k","","","2015¦~10¤ë7¤é","","ªL§Æ´@"
"G12","<U+5553>¼w¥_","³¯Ä_¥É","","¤k","","","2015¦~10¤ë8¤é","","³¯Ä_¥É"
"G12","<U+5553>¼w¥_","¨¯¯ª¿Å","","¨k","","±Ò¼w¥|¨¶¦P¶m·|","2015¦~10¤ë14¤é","2015¦~10¤ë15¤é°h¿ï","¨¯¯ª¿Å"
"G13","<U+5553>¼w«n","¦óµØº~","","¨k","","","2015¦~10¤ë2¤é","","¦óµØº~"
"G13","<U+5553>¼w«n","Ä¬ºö¶²","","¤k","¥ßªk·|Ä³­û§U²z","¥Á¥DÄÒ","2015¦~10¤ë5¤é","","Ä¬ºö¶²"
"G14","®ü¤ß","¼ï°êµØ","","¨k","","¥Á«ØÁp","2015¦~10¤ë2¤é","","¼ï°êµØ"
"G14","®ü¤ß","§õ®a«Â","","¨k","¦a²£¥N²z/ºô¥x¥D«ù","­»´äÃöª`·|","2015¦~10¤ë15¤é","","§õ®a«Â"
"G15","¤g¥ÊÆW¥_","§õ¼z<U+743C>","","¤k","Ä³­û/·|­p®v","¥Á«ØÁp","2015¦~10¤ë6¤é","","§õ¼z<U+743C>"
"G15","¤g¥ÊÆW¥_","¨H®õ¾W","","¨k","","","2015¦~10¤ë14¤é","","¨H®õ¾W"
"G15","¤g¥ÊÆW¥_","ªL¨ÌÄR","","¤k","¦a²£¦WÅAÅU°Ý","­»´äÃöª`·|","2015¦~10¤ë15¤é","","ªL¨ÌÄR"
"G16","¤g¥ÊÆW«n","ªL³Õ","","¨k","·F¨Æ","","2015¦~10¤ë2¤é","","ªL³Õ"
"G16","¤g¥ÊÆW«n","²øÄR¬Â","","¤k","","¥Á¥DÄÒ","2015¦~10¤ë12¤é","","²øÄR¬Â"
"G17","Åb¶é®ü¶h","§E§Óºa","","¨k","°Ó¤H","","2015¦~10¤ë2¤é","","§E§Óºa"
"G17","Åb¶é®ü¶h","¿½°û¹ß","","¤k","°ÏÄ³­û","¥Á«ØÁp","2015¦~10¤ë2¤é","","¿½°û¹ß"
"G17","Åb¶é®ü¶h","·¨Ä~©÷","","¨k","¬Fµ¦¬ã¨s­û","¦ÛÅ@Áp¨¹","2015¦~10¤ë10¤é","","·¨Ä~©÷"
"G18","¶À®HªF","±ç¬üªâ","","¤k","¤j«ß®v/ªk«ß°Æ±Ð±Â","¦è¤E·s°Ê¤O/­»´ä¸gÀÙ¥Á¥ÍÁp·ù","2015¦~10¤ë2¤é","","±ç¬üªâ"
"G18","¶À®HªF","´å¿·ºÕ","","¤k","","«C¦~·s¬F","2015¦~10¤ë9¤é","","´å¿·ºÕ"
"G18","¶À®HªF","Ã¹¿ü©ú","","¨k","³Ð·|°õ¸³/³Õ¾É","","2015¦~10¤ë12¤é","","Ã¹¿ü©ú"
"G19","¶À®H¦è","¼B°¶ºa","","¨k","¥þÂ¾°ÏÄ³­û","","2015¦~10¤ë2¤é","","¼B°¶ºa"
"G19","¶À®H¦è","ñK¸¶½å","","¤k","Âå¥Í","«C¦~·s¬F","2015¦~10¤ë9¤é","","ñK¸¶½å"
"G20","¬õê©ÆW","»¯¥K«H","","¨k","ªÀ°Ï·F¨Æ","¤uÄÒ","2015¦~10¤ë2¤é","","»¯¥K«H"
"G20","¬õê©ÆW","±i¤¯±d","","¨k","¤uµ{®v","","2015¦~10¤ë2¤é","","±i¤¯±d"
"G20","¬õê©ÆW","¶¾Äv¤å","","¤k","","","2015¦~10¤ë2¤é","","¶¾Äv¤å"
"G20","¬õê©ÆW","§õ²hÃò","","¨k","","","2015¦~10¤ë13¤é","","§õ²hÃò"
"G21","¬õê©","¥ô°ê´É","","¨k","¥þÂ¾°ÏÄ³­û","¥Á¨ó","2015¦~10¤ë2¤é","","¥ô°ê´É"
"G21","¬õê©","ªL¼w¦¨","","¨k","¦æ¬F¤H­û","¥Á¥D«Ø´ä¨ó¶iÁp·ù","2015¦~10¤ë2¤é","","ªL¼w¦¨"
"G21","¬õê©","¶À§Ó±j","","¨k","¨®¦æ¸g²z","","2015¦~10¤ë15¤é","","¶À§Ó±j"
"G22","®aºû","³Ò¶W³Ç","","¨k","«ß®v","","2015¦~10¤ë2¤é","","³Ò¶W³Ç"
"G22","®aºû","³¯µÎ¼_","","¤k","","","2015¦~10¤ë10¤é","2015¦~10¤ë15¤é°h¿ï","³¯µÎ¼_"
"G23","·R¥Á","§d¾Äª÷","","¨k","°ÏÄ³­û/°ª¯Å§U²z²ÎÄw¥D¥ô","¥Á«ØÁp","2015¦~10¤ë2¤é","","§d¾Äª÷"
"G23","·R¥Á","°¨§ÆÄP","","¨k","Ä³­û§U²z","¥Á¥DÄÒ","2015¦~10¤ë13¤é","","°¨§ÆÄP"
"G24","·R«T","¥ª<U+6ED9>¶¯","","¨k","°ÏÄ³­û","","2015¦~10¤ë2¤é","","¥ª<U+6ED9>¶¯"
"G24","·R«T","³¯¤Í©÷","","¨k","","¤½¥ÁÄÒ","2015¦~10¤ë5¤é","","³¯¤Í©÷"
"H01","Às½ì","·¨±ÓºÓ","¨¹¨¹","¨k","·Oµ½¹ÎÅé¥D®u","¿W¥ß","2015¦~10¤ë5¤é","","·¨±ÓºÓ(¨¹¨¹)"
