ConstituencyCode,Constituency,Candidate,Politics,Camp
J20,PAK NGA,CHAN YU MING,Civic Party,D
J20,PAK NGA,HO KAI MING,FTU,B
J20,PAK NGA,YU SUI SANG,,
J21,YAU TONG EAST,CHEUNG KI TANG,DAB,B
J22,YAU LAI,LAI SHU HO PATRICK,Independent,
J22,YAU LAI,CHENG WAH TUNG FRANCIS,,
J22,YAU LAI,HON KA MING,The Democratic Party,D
J23,CHUI CHEUNG,TSE SUK CHUN,,
J23,CHUI CHEUNG,WONG KAI SAN,Hong Kong Federation of Trade Unions,B
J24,YAU TONG WEST,LUI TUNG HAI,Independent Candidate,
J25,LAGUNA CITY,TAM MAN HO JEREMY JANSEN,Civic Party,D
J25,LAGUNA CITY,TANG WING CHUN,Independent,
J26,KING TIN,TONG DICK KAN,Civic Party,D
J26,KING TIN,CHEUNG SHUN WAH,,
J27,TSUI PING,CHENG KEUNG FUNG,The Federation of Public Housing Estates,B
J27,TSUI PING,LAM HO CHUN CAROL,People Power/The Frontier,D
J28,PO LOK,LAU TING ON,,
J28,PO LOK,CHENG KENG IEONG,The Democratic Party,D
J29,YUET WAH,HSU HOI SHAN,Independent Candidate,
J29,YUET WAH,CHAN KAM WAI,,
J30,HIP HONG,CHAN CHUNG BUN BUNNY,,
J30,HIP HONG,CHAU CHUNG PING,,
J30,HIP HONG,WONG YI TING EDITH,,
J31,HONG LOK,MA YAT CHIU,Independent Candidate,
J31,HONG LOK,CHAN CHAK TO,Kowloon East Community,D
J32,TING ON,KAM KIN,,
J32,TING ON,WONG KAI MING,Democratic Party,D
J33,UPPER NGAU TAU KOK ESTATE,CHAN KOK WAH BEN,Democratic Alliance for the Betterment and Progress of Hong Kong,B
J33,UPPER NGAU TAU KOK ESTATE,LUI CHI HANG HENDRICK,,
J34,LOWER NGAU TAU KOK ESTATE,CHEUNG YIU PAN,DAB,B
J34,LOWER NGAU TAU KOK ESTATE,WONG CHING FUNG,The Democratic Party,D
J35,TO TAI,YIP HING KWOK,,
J36,LOK WAH NORTH,FUNG KAM YUEN,*Independent Candidate,
J36,LOK WAH NORTH,WONG CHI KEN,Kowloon East Community,D
J37,LOK WAH SOUTH,LEE KA HANG,FTU,B
J37,LOK WAH SOUTH,SO KOON CHUNG KEVIN,,
K01,TAK WAH,LO SIU KIT,,
K02,YEUNG UK ROAD,CHAN HAN PAN,Democratic Alliance for the Betterment and Progress of Hong Kong,B
K02,YEUNG UK ROAD,LAM SEK TIM,Tsuen Wan Community Network,D
K03,HOI BUN,CHENG PAK KEUNG,,
K03,HOI BUN,CHOW PING TIM,Independent,
K04,CLAGUE GARDEN,KOO YEUNG PONG,Democratic Alliance for the Betterment and Progress of Hong Kong,B
K04,CLAGUE GARDEN,TONG WING CHI,,
K05,FUK LOI,KOT SIU YUEN,The Hong Kong Federation of Trading Unions,B
K05,FUK LOI,SHEK WILLIAM,,
K06,DISCOVERY PARK,CHIU YAN LOY,Labour Party,D
K06,DISCOVERY PARK,TIEN MICHAEL PUK SUN,New People's Party,B
K07,TSUEN WAN CENTRE,TSANG TAI,Democratic Alliance for the Betterment and Progress of Hong Kong,B
K07,TSUEN WAN CENTRE,LI HUNG POR,The Democratic Party,D
K08,ALLWAY,LAM YUEN PUN,,
K08,ALLWAY,WONG YUI TAK LOUIS,The Democratic Party,D
K09,LAI TO,WONG WAI KIT,Independent,
K09,LAI TO,CHIU PUI SZE(VICKY),Civic Party,D
K10,TING SHAM,HA HEI LOK,Labour Party,D
K10,TING SHAM,CHENG CHIT PUN,New People's Party,B
K10,TING SHAM,CHENG SHING LUNG EDWIN,,
K11,TSUEN WAN WEST,LAM LAM NIXIE,Democratic Alliance for the Betterment and Progress of Hong Kong,B
K11,TSUEN WAN WEST,POON CHIU LAM,Tsuen Wan Dynamic for the People,
K11,TSUEN WAN WEST,CHU SHUN MING,,
K12,TSUEN WAN RURAL,NG HIN LUNG,,
K12,TSUEN WAN RURAL,CHAN WAI MING,,
K13,MA WAN,WONG CHIU WAH KEVIN,New People's Party,B
K13,MA WAN,TAM HOI PONG,Neo Democrats,D
K13,MA WAN,LUK WAI LEUNG WILLIAM,Third Side,
K13,MA WAN,TSENG WEN TIEN JUSTIN,Independent Candidate,
K14,LUK YEUNG,LAM FAAT KANG,,
K14,LUK YEUNG,WONG PUI CHI,Neo Democrats,D
K15,LEI MUK SHUE EAST,LUI DIK MING,Democratic Alliance for the Betterment and Progress of Hong Kong,B
K15,LEI MUK SHUE EAST,CHAN YUEN SUM SUMLY,Civic Party,D
K16,LEI MUK SHUE WEST,TAM TSZ FEI,The Hong Kong Federation of Trading Unions (FTU),B
K16,LEI MUK SHUE WEST,WONG KA WA,Civic Party,D
K17,SHEK WAI KOK,MAN YU MING,New Territories Association of Societies/Federation of Public Housing Estate,B
K17,SHEK WAI KOK,LAI MAN FAI,,
K18,CHEUNG SHEK,CHAN CHUN CHUNG,Democratic Alliance for Betterment and Progress of Hong Kong,B
K18,CHEUNG SHEK,WONG CHI SHUN ADEN,Democratic Alliance,D
K18,CHEUNG SHEK,CHAN KA WING,The Democratic Party,D
L01,TUEN MUN TOWN CENTRE,CHIU KAM MOON,,
L01,TUEN MUN TOWN CENTRE,AU CHI YUEN,,
L02,SIU CHI,LI CHING YEE,DAB,B
L02,SIU CHI,LAM CHUNG HOI,*The Democratic Party,D
L02,SIU CHI,WONG KA LEUNG,,
L03,SIU TSUI,YIP MAN PAN,Democratic Alliance for the Betterment and Progress of Hong Kong,B
L03,SIU TSUI,TANG CHUN TO,The Democratic Party,D
L03,SIU TSUI,NG HON YING,,
L04,ON TING,FUNG PUI YIN,FTU,B
L04,ON TING,KONG FUNG YI,ADPL,D
L05,YAU OI SOUTH,TSANG HIN HONG,Democratic Alliance for the Betterment and Progress of Hong Kong,B
L05,YAU OI SOUTH,CHIN PO FUN,People Power,D
L06,YAU OI NORTH,CHAN WAN SANG,Democratic Alliance for the Betterment and Progress of Hong Kong,B
L06,YAU OI NORTH,TAM CHUN YIN,Labour Party,D
L06,YAU OI NORTH,LAM LAP,,
L07,TSUI HING,CHU YIU WAH,New People・s Party,B
L08,SHAN KING,NG KOON HUNG,,
L08,SHAN KING,HON LAI YIN,,
L09,KING HING,CHAN YAU HOI,The Hong Kong Federation of Trade Unions,B
L10,HING TSAK,TSUI FAN,The Hong Kong Federation of Trade Unions,B
L10,HING TSAK,CHAN SZE NGA,,
L11,SAN HUI,KWU HON KEUNG,,
L11,SAN HUI,HO HAU CHUN,,
L11,SAN HUI,HUI CHEUK HO,Independent,
L12,SAM SHING,SO SHIU SHING,New People・s Party,B
L12,SAM SHING,LEE KAM TIM,,
L13,HANFORD,CHU SHUN NGA BEATRICE,The Democratic Party,D
L13,HANFORD,NGAI KA HO,,
L13,HANFORD,LI KWAI FONG,Independent,
L13,HANFORD,WONG CHAK WAH,,
L14,FU SUN,LI SAI KEUNG,,
L14,FU SUN,TAI YIN CHIU(THOMAS),,
L14,FU SUN,HO YING SANG(CHRIS),,
L14,FU SUN,KAM MAN FUNG,,
L14,FU SUN,CHEUNG WAI KAU,,
L14,FU SUN,LUNG KANG SAN,,
L15,YUET WU,CHEUNG HANG FAI,Democratic Alliance for the Betterment and Progress of Hong Kong,B
L15,YUET WU,YIP LAI MEI NATALIE,,
L16,SIU HEI,YAN SIU NAM,ADPL,D
L16,SIU HEI,HAU KWOK TUNG,Democratic Alliance for the Betterment and Progress of Hong Kong,B
L17,WU KING,LEUNG KIN MAN,Democratic Alliance for the Betterment and Progress of Hong Kong,B
L17,WU KING,CHOW KAI LIM,,
L18,BUTTERFLY,SO OI KWAN,DAB,B
L18,BUTTERFLY,YEUNG CHI HANG,ADPL,D
L19,LOK TSUI,HO CHUN YAN,The Democratic Party,D
L19,LOK TSUI,HO KWAN YIU,Independent,
L19,LOK TSUI,YUEN WAI CHUNG,MESSAGE,
L19,LOK TSUI,CHEUNG WING WAI,,
L19,LOK TSUI,CHENG CHUNG TAI,Civic Passion,
L19,LOK TSUI,SHUM KAM TIM,,
L20,LUNG MUN,LUNG SHUI HING,Democratic Alliance for the Betterment and Progress of Hong Kong,B
L21,SAN KING,LEE FUNG SIM,Democratic Alliance for the Betterment and Progress of Hong Kong,B
L21,SAN KING,WONG LAI SHEUNG CATHERINE,The Democratic Party,D
L22,LEUNG KING,CHING CHI HUNG,Democratic Alliance for the Betterment and Progress of Hong Kong,B
L22,LEUNG KING,KWUN TUNG WING,,
L23,TIN KING,LEE HUNG SHAM LOTHAR,FTU,B
L23,TIN KING,CHIU KIM LING,,
L24,PO TIN,SO KA MAN,New People・s Party,B
L24,PO TIN,CHU SIU HUNG,,
L25,KIN SANG,CHAN MAN WAH,Democratic Alliance for the Betterment and Progress of Hong Kong,B
L25,KIN SANG,LAM TSZ CHING,,
L26,SIU HONG,MO SHING FUNG,Democratic Alliance for the Betterment and Progress of Hong Kong,B
L26,SIU HONG,CHAN SHU YING JOSEPHINE,The Democratic Party,D
L26,SIU HONG,LAW HO YAN,,
L27,PRIME VIEW,HO HANG MUI,The Democratic Party,D
L27,PRIME VIEW,KWONG MAN TIK,,
L28,FU TAI,CHAN MANWELL,The Hong Kong Federation of Trade Unions,B
L28,FU TAI,HO WAI CHEUNG,Tuen Mun Community Concern Group,D
L29,TUEN MUN RURAL,TO SHECK YUEN,,
L29,TUEN MUN RURAL,TANG TAK SUM,,
M01,FUNG NIN,WONG KWOK HUNG,Democratic Alliance,D
M01,FUNG NIN,LUI KIN,Democratic Alliance for the Betterment and Progress of Hong Kong,B
M02,SHUI PIN,YUEN MAN YEE,,
M03,NAM PING,WONG WAI YIN ZACHARY,Democratic Party,D
M03,NAM PING,CHEUNG FAN LAN,DAB,B
M03,NAM PING,CHAN WAI YI,Independent Candidate,
M04,PEK LONG,KWONG CHUN YU,The Democratic Party,D
M04,PEK LONG,WONG YUK CHUN,Democratic Alliance for the Betterment and Progress of Hong Kong,B
M05,YUEN LONG CENTRE,LAM TING WAI,Democratic Alliance,D
M05,YUEN LONG CENTRE,SIU LONG MING,Democratic Alliance for the Betterment and Progress of Hong Kong,B
M06,YUEN LUNG,WONG WAI SHUN,New People・s Party,B
M06,YUEN LUNG,CHONG KIN SHING,BPA,B
M07,FUNG CHEUNG,MAK IP SING,Democratic Alliance,D
M07,FUNG CHEUNG,YU CHUNG LEUNG,Democratic Alliance for the Betterment and Progress of Hong Kong,B
M07,FUNG CHEUNG,WONG WAI,,
M08,SHAP PAT HEUNG EAST,SHUM HO KIT,,
M09,SHAP PAT HEUNG CENTRAL,LEUNG MING KIN,,
M10,SHAP PAT HEUNG WEST,CHING CHAN MING,,
M11,PING SHAN SOUTH,CHEUNG MUK LAM,New Territories Association of Societies,B
M12,PING SHAN CENTRAL,TANG HING IP,,
M13,PING SHAN NORTH,TANG TAT SIN,,
M13,PING SHAN NORTH,YOUNG KA ON,,
M14,HA TSUEN,TANG KA LEUNG,,
M14,HA TSUEN,CHENG KAM HO,,
M15,TIN SHING,CHAN SZE CHING,New People・s Party,B
M15,TIN SHING,LEUNG YIP PANG,,
M16,SHUI OI,KWOK KEUNG,Democratic Alliance for the Betterment and Progress of Hong Kong,B
M16,SHUI OI,CHAU TSZ KI,,
M17,SHUI WAH,CHOW WING KAN,Liberal Party,B
M17,SHUI WAH,KO CHUN KIT,DAB,B
M18,CHUNG WAH,WONG WAI LING,Democratic Alliance for the Betterment and Progress of Hong Kong,B
M18,CHUNG WAH,CHAN KA KUI,,
M19,YUET YAN,CHIU SAU HAN,,
M20,FU YAN,LAU KWAI YUNG,The Hong Kong Federation Trade Unions,B
M20,FU YAN,KEUNG KWOK WAI,Labour Party,D
M21,YAT CHAK,WONG YU CHOI,,
M21,YAT CHAK,KWOK HING PING,,
M21,YAT CHAK,WONG YUEN FAI,,
M22,TIN HENG,LUK CHUNG HUNG(MICHAEL),HKFTU,B
M22,TIN HENG,WONG PAK YU,Tin Shui Wai New Force,D
M22,TIN HENG,CHEUNG KWOK TUNG,,
M23,WANG YAT,YIU KWOK WAI,The Hong Kong Federation Trade Unions,B
M24,CHING KING,TANG CHEUK HIM,F.T.U.,B
M24,CHING KING,SO WING CHAU,,
M25,KINGSWOOD NORTH,LEE YUET MAN,,
M25,KINGSWOOD NORTH,HO WAI FONG POLLY,,
M26,TSZ YAU,CHAN MEI LIN,,
M26,TSZ YAU,CHING YUNG FAI,Democratic Alliance for the Betterment and Progress of Hong Kong,B
M27,YIU YAU,MA SHUK YIN,Democratic Alliance for the Betterment and Progress of Hong Kong,B
M27,YIU YAU,WONG PUI YIN AGATHA,,
M28,TIN YIU,LEUNG CHIN HANG(PLISKIN),,
M28,TIN YIU,LEUNG CHE CHEUNG,*Democratic Alliance for the Betterment and Progress of Hong Kong/NTAS,B
M29,KINGSWOOD SOUTH,NG YUK YING(KATY),The Democratic Party,D
M29,KINGSWOOD SOUTH,CHAM KA HUNG DANIEL,,
M30,CHUNG PAK,WONG CHEUK KIN,*New People's Party,B
M30,CHUNG PAK,MOK YIM HAY,,
M31,FAIRVIEW PARK,YAU TAI TAI,,
M31,FAIRVIEW PARK,LEUNG WAI KWAN,,
M31,FAIRVIEW PARK,TO KA LUN,,
M32,SAN TIN,MAN KWONG MING,,
M32,SAN TIN,MAN KWAI KI,,
M33,KAM TIN,TANG CHEUK YIN,,
M34,PAT HEUNG NORTH,TANG YUNG YIU RONNIE,,
M34,PAT HEUNG NORTH,TANG CHI KWONG,,
M35,PAT HEUNG SOUTH,LAI WAI HUNG,,
M35,PAT HEUNG SOUTH,LEUNG HO SUM,,
M35,PAT HEUNG SOUTH,CHU HOI DICK EDDIE,Land Justice League,D
N01,LUEN WO HUI,LAW SAI YAN,The Democratic Party,D
N01,LUEN WO HUI,LIU MING KIN(ANDY),Liberal Party,B
N01,LUEN WO HUI,TSANG HING LUNG,DAB,B
N02,FANLING TOWN,PANG CHUN SING GEORGE,Independent,
N02,FANLING TOWN,WONG CHUN NING,Third Side,
N03,CHEUNG WAH,CHAN YUK MING,The Democratic Party,D
N03,CHEUNG WAH,YUEN HOI WAI FEDER,Non-affiliated Candidate,
N03,CHEUNG WAH,YIP YIU SHING CHRIS,Independent,
N03,CHEUNG WAH,WONG KA HO,North of The Rings,D
N04,WAH DO,YIU MING,DAB/NTAS,B
N05,WAH MING,CHAN WAI TAT,Neo Democrats,D
N05,WAH MING,LAI SUM,DAB,B
N06,YAN SHING,LAU KWOK FAN,DAB,B
N07,SHING FUK,WAN WO TAT WARWICK,The Hong Kong Federation of Trade Unions,B
N08,FANLING SOUTH,HO SHU KWONG RAYMOND,*Independent Candidate,
N08,FANLING SOUTH,WONG SING CHI,Third Side,
N09,CHING HO,LARM WAI LEUNG,DAB,B
N10,YU TAI,TSANG KING CHUNG KENT,The Hong Kong Federation of Trade Unions,B
N10,YU TAI,HAU WING KONG ALVAN,Liberal Party,B
N10,YU TAI,SHEK FONG YAU,,
N11,SHEUNG SHUI RURAL,HAU FUK TAT SIMON,Independent Candidate,
N11,SHEUNG SHUI RURAL,HAU KAM LAM,DAB,B
N12,CHOI YUEN,SO SAI CHI,DAB,B
N12,CHOI YUEN,LEUNG KAM SHING CLARENCE RONALD,North District Parallel Imports Concern Group,D
N13,SHEK WU HUI,LAM CHEUK TING,The Democratic Party,D
N13,SHEK WU HUI,LAU HON KIN,,
N13,SHEK WU HUI,WONG YUN KEUNG SIMON,DAB,B
N14,TIN PING WEST,WONG WANG TO,The Hong Kong Federation of Trade Unions,B
N14,TIN PING WEST,POON TAK WING,The Democratic Party,D
N14,TIN PING WEST,LEE CHING HEI,Civic Passion,
N15,FUNG TSUI,LIU KWOK WAH,,
N15,FUNG TSUI,LIU HING HUNG,DAB,B
N15,FUNG TSUI,YU MAN KWONG,,
N16,SHA TA,CHU OI PING,,
N16,SHA TA,WAN WO FAI,DAB,B
N16,SHA TA,TSANG YUK ON,,
N16,SHA TA,CHEUNG KWAI CHOI,,
N17,TIN PING EAST,LAU KI FUNG,The Democratic Party,D
N17,TIN PING EAST,OR SIN YI WINDY,DAB,B
N17,TIN PING EAST,YU CHI SHING PAUL,Independent Candidate,
N18,QUEEN'S HILL,TANG KUN NIN TONY,DAB,B
P01,TAI PO HUI,LI KWOK YING,DAB,B
P01,TAI PO HUI,CHOY WING MUI MOLLY,,
P02,TAI PO CENTRAL,AU CHUN WAH,The Democratic Party,D
P02,TAI PO CENTRAL,MUI SIU FUNG,DAB,B
P02,TAI PO CENTRAL,MAN WAI KEUNG,Independent,
P03,CHUNG TING,LUI NOK,The Democratic Party,D
P03,CHUNG TING,TAM WING FUN ERIC,DAB,B
P04,TAI YUEN,AU CHUN HO,The Democratic Party,D
P04,TAI YUEN,CHENG CHUN PING,DAB,B
P05,FU HENG,WONG CHAU PAK,DAB,B
P05,FU HENG,YAM MAN CHUEN,,
P06,YEE FU,YAM KAI BONG,Neo Democrats,D
P06,YEE FU,CHEUNG FUNG YIN,DAB,B
P07,FU MING SUN,CHAN YUNG WA,*FTU,B
P07,FU MING SUN,KWAN WING YIP,Neo-Democrats,D
P08,KWONG FUK & PLOVER COVE,WONG PIK KIU,Democratic Alliance for the Betterment and Progress of Hong Kong,B
P08,KWONG FUK & PLOVER COVE,KWOK SHU YAN,,
P08,KWONG FUK & PLOVER COVE,CHOW BENJAMIN,,
P09,WANG FUK,MAN NIM CHI,The Democratic Party,D
P09,WANG FUK,WOO KIN MAN CLEMENT,Democratic Alliance for the Betterment and Progress of Hong Kong,B
P10,TAI PO KAU,CHAN SIU KUEN,,
P11,WAN TAU TONG,YU CHI WING(KEN),*Independent Candidates,
P11,WAN TAU TONG,CHENG WAI,,
P12,SAN FU,WU KAM FAI,,
P12,SAN FU,KWOK WING KIN,Labour Party,D
P12,SAN FU,LO HIU FUNG,*Non-affiliated Candidate,
P13,LAM TSUEN VALLEY,CHAN CHO LEUNG,Business and Professionals Alliance for Hong Kong,B
P13,LAM TSUEN VALLEY,LAM CHUN CHEUNG,,
P13,LAM TSUEN VALLEY,WAN YUK WING,Independent Candidate,
P14,PO NGA,CHOW YUEN WAI,Neo Democrats,D
P14,PO NGA,WONG YUNG KAN,DAB,B
P15,TAI WO,CHENG CHUN WO,,
P16,OLD MARKET & SERENITY,LAU YUNG WAI,Independent Candidate,
P16,OLD MARKET & SERENITY,CHEUNG KWOK WAI,DAB,B
P17,HONG LOK YUEN,TANG MING TAI PATRICK,,
P17,HONG LOK YUEN,MAN CHEN FAI,BPA Services Company Limited,B
P18,SHUEN WAN,LAU CHEE SING(DR.),*Independent Candidate,
P19,SAI KUNG NORTH,LEE KWAI YAU VICTOR,,
P19,SAI KUNG NORTH,LI WAH KWONG REX,BPA,B
Q01,SAI KUNG CENTRAL,NG SZE FUK,DAB,B
Q01,SAI KUNG CENTRAL,CHEUNG SZE KIT ALAN,Independent Candidate,
Q02,PAK SHA WAN,HIEW MOO SIEW,DAB,B
Q02,PAK SHA WAN,PO WAI MING,Independent Candidate,
Q03,SAI KUNG ISLANDS,LI KA LEUNG PHILIP,DAB,B
Q04,HANG HAU EAST,LAU WAI CHEUNG PETER(*),,
Q04,HANG HAU EAST,LAU MAN CHOI NEWMAN,Independent,
Q05,HANG HAU WEST,YAU YUK LUN,DAB,B
Q05,HANG HAU WEST,LUK SAU CHING,Independent Candidate,
Q06,PO YEE,NG SHUET SHAN,,
Q06,PO YEE,TSE CHING FUNG,Democratic Party,D
Q06,PO YEE,CHAN YIN CHU,,
Q07,WAI KING,WONG SHING KWONG(JACK),,
Q07,WAI KING,CHAN KAI WAI,Independent Candidate,
Q08,DO SHIN,MOK RUBY,Independent,
Q08,DO SHIN,SHUEN PAK MAN ANDREW,Independent Candidate,
Q08,DO SHIN,CHEUNG CHIN PANG,*Independent,
Q08,DO SHIN,SO HO,People Power/The Frontier,D
Q09,KIN MING,CHAU KA LOK,*DAB,B
Q09,KIN MING,LEUNG LI,Neo Democrats,D
Q10,CHOI KIN,NG JACOB,*DAB,B
Q10,CHOI KIN,HO MAN KIT RAYMOND,Independent Candidate,
Q11,O TONG,KO WING LUEN,,
Q11,O TONG,LUI MAN KWONG,Neo Democrats,D
Q11,O TONG,AU YEUNG HO KWAN,Independent Candidate,
Q12,FU KWAN,SHEK YUEN HON,,
Q12,FU KWAN,LUK PING CHOI,,
Q12,FU KWAN,LUI KIM HO(KIM),*Independent Non-affiliated,
Q13,KWAN PO,WONG TIN YAU,*Independent Candidate,
Q13,KWAN PO,LAI MING CHAK,Neo Democrats,D
Q13,KWAN PO,LEE SUN ANTONY,,
Q13,KWAN PO,CHAN CHIN CHUN(CYRUS),Independent Democrat,
Q13,KWAN PO,LEE KWOK PUI,,
Q14,NAM ON,YU KAI CHUN,,
Q14,NAM ON,CHAU YIN MING FRANCIS,Independent Candidate,
Q15,HONG KING,CHAN KIN CHUN KEN,New People's Party/ Civil Force,B
Q15,HONG KING,LAM SIU CHUNG FRANKIE,The Democratic Party,D
Q16,TSUI LAM,TAM LANNY,New People's Party/ Civil Force,B
Q16,TSUI LAM,CHAN YUEN PAN,,
Q17,PO LAM,AU NING FAT ALFRED,,
Q17,PO LAM,CHEUNG CHI TUNG,,
Q17,PO LAM,WONG LOK YIN(ROCKY),Liberal Party,B
Q18,YAN YING,CHUNG KAM LUN(BEN),Neo Democrats,D
Q18,YAN YING,CHEUNG SZE NGAO EDDIE,New People's Party/ Civil Force,B
Q18,YAN YING,YEUNG HO CHUEN(HARRIS),Liberal Party,B
Q18,YAN YING,LIU TSZ CHUNG MICHAEL,New People's Party/ Civil Force,B
Q19,WAN HANG,SUN WAI KEI,,
Q19,WAN HANG,FAN GARY KWOK WAI,Neo Democrats,D
Q19,WAN HANG,LAI TZE WAH,Independent,
Q20,KING LAM,WAN KAI MING,DAB,B
Q20,KING LAM,LAM WING YIN,Democratic Party,D
Q21,HAU TAK,LING MAN HOI,DAB,B
Q21,HAU TAK,TSANG HO MAN,The Democratic Party,D
Q22,FU NAM,CHAN POK CHI,DAB,B
Q22,FU NAM,CHAN YIU MING,Independent Democrat,
Q23,TAK MING,WAN YUET CHEUNG,New People's Party/ Civil Force,B
Q24,SHEUNG TAK,CHOI KIN CHING(CHOI CHUN HIU),,
Q24,SHEUNG TAK,KAN SIU KEI,,
Q24,SHEUNG TAK,WONG FAI,People Power/The Frontier,D
Q25,KWONG MING,CHONG YUEN TUNG,DAB,B
Q25,KWONG MING,SHI HAU KIT SIMON(*),,
Q25,KWONG MING,CHOI MING HEI,*Independent Democrat,
Q26,WAN PO NORTH,CHUI TING PONG,Liberal Party,B
Q26,WAN PO NORTH,FONG KWOK SHAN CHRISTINE,Independent Candidate,
Q27,WAN PO SOUTH,WU CHEUK HIM,DAB,B
Q27,WAN PO SOUTH,CHEUNG MEI HUNG,Independent Candidate,
R01,SHA TIN TOWN CENTRE,WONG CHI YUNG(ALF WONG),DAB,B
R01,SHA TIN TOWN CENTRE,WAI HING CHEUNG,Democratic Coalition for DC Election,D
R02,LEK YUEN,WONG HO MING,League of Social Democrats,D
R02,LEK YUEN,WONG YUE HON,Civil Force/New People・s Party,B
R03,WO CHE ESTATE,LEE TAK WAH,,
R03,WO CHE ESTATE,YUE SHIN MAN ANNA(ANNA),DAB,B
R03,WO CHE ESTATE,LEE WAI FUNG(DECO),People Power,D
R04,CITY ONE,WONG KA WING,New People・s Party,B
R05,YUE SHING,LEUNG KA FAI,New People's Party/ Civil Force,B
R06,WONG UK,LAI TSZ YAN,Independent,
R06,WONG UK,LEUNG CHI WAI,Liberal Party,B
R07,SHA KOK,CHAN BILLY SHIU YEUNG,Neo Democrats,D
R07,SHA KOK,YEUNG SIN HUNG,New People's Party/ Civil Force,B
R08,POK HONG,CHIU CHU PONG,Neo Democrats,D
R08,POK HONG,CHAN KWOK TIM,Civil Force/ New People・s Party,B
R09,JAT MIN,YIP KA MING MICHAEL,New People・s Party/ Civil Force,B
R09,JAT MIN,YAU MAN CHUN,Neo Democrats,D
R09,JAT MIN,CHAU PING HIM,BPA,B
R10,CHUN FUNG,LEUNG KA WAI,New People・s Party/ Civil Force,B
R10,CHUN FUNG,CHAN NOK HANG,The Democratic Party,D
R11,SUN TIN WAI,LI LOK YAN,FTU,B
R11,SUN TIN WAI,CHING CHEUNG YING,Democratic Party,D
R12,CHUI TIN,HUI YUI YU,Neo Democrats,D
R12,CHUI TIN,WONG CHAK PIU PHILIP,Civil Force/New People・s Party,B
R13,HIN KA,LAM CHUNG YAN,Civil Force/New People・s Party,B
R13,HIN KA,MOK WAI HUNG,The Democratic Party,D
R14,LOWER SHING MUN,TONG HOK LEUNG,,
R14,LOWER SHING MUN,LEE YUEN KAM,,
R14,LOWER SHING MUN,CHONG YIU KAN SHERMAN,,
R15,WAN SHING,HO HAU CHEUNG,New People・s Party/ Civil Force,B
R15,WAN SHING,WONG LEUNG HI,Independent Democrats,
R15,WAN SHING,CHEUNG TAK WING,,
R16,KENG HAU,HO KWOK WAH GEORGE,Civil Force/New People・s Party,B
R16,KENG HAU,NG KAM HUNG,The Democratic Party,D
R16,KENG HAU,YEUNG WAI YIP,,
R17,TIN SUM,PUN KWOK SHAN,New People・s Party/ Civil Force,B
R18,CHUI KA,WAI TAK LUN,New People・s Party/Civil Force,B
R18,CHUI KA,LI SAI HUNG,Neo Democrats,D
R18,CHUI KA,LEE KAM MING,,
R19,TAI WAI,TUNG KIN LEI,DAB,B
R19,TAI WAI,LEUNG CHUN HIN,Shatin Community Network,D
R20,CHUNG TIN,TANG WING CHEONG,Civil Force/New People・s Party,B
R20,CHUNG TIN,LO YUET CHAU,,
R20,CHUNG TIN,WONG HOK LAI,Shatin Community Network,D
R21,SUI WO,PANG CHEUNG WAI THOMAS,DAB,B
R21,SUI WO,YAU CHI KIN,Civic Party,D
R21,SUI WO,LI SUI HA(LISA),,
R22,FO TAN,PONG SCARLETT OI LAN,,
R22,FO TAN,CHAN MAN FAI,Civic Party,D
R23,CHUN MA,HO WAI LOK(RONALD),Liberal Party,B
R23,CHUN MA,SIU HIN HONG,,
R23,CHUN MA,CHENG WING CHUNG(PC),,
R24,CHUNG ON,YIP WING,Labour Party,D
R24,CHUNG ON,QUAT ELIZABETH(EQ),DAB,B
R25,KAM TO,YEUNG MAN YUI(GARY),DAB,B
R25,KAM TO,CHAN KWOK KEUNG(JAMES),,
R26,MA ON SHAN TOWN CENTRE,LEE CHI WING ALVIN,,
R26,MA ON SHAN TOWN CENTRE,MAN CHI WAI,Independent Democrats,
R27,LEE ON,KONG CHEUK WAI,,
R27,LEE ON,LO TAI SUEN ADA,DAB,B
R27,LEE ON,MAK YUN PUI(CHRIS MAK),Power for Democracy,D
R28,FU LUNG,LAW KWONG KEUNG(KK),Civil Force / New People's Party,B
R28,FU LUNG,TSANG SO LAI,The Democratic Party,D
R29,WU KAI SHA,SIO CHAN IN DEVIN,DAB,B
R29,WU KAI SHA,LI WING SHING,Democratic Party,D
R30,KAM YING,LI PO MUI,,
R30,KAM YING,TING TSZ YUEN,The Democratic Party,D
R30,KAM YING,LAW SIU CHUN,,
R30,KAM YING,TONG PO CHUN,,
R31,YIU ON,LI SAI WING,DAB/NTAS,B
R31,YIU ON,CHEUNG PIK HA,,
R32,HENG ON,LAM TAK WAI,Hong Kong Federation of Trade Unions,B
R32,HENG ON,CHENG TSUK MAN,The Democratic Party,D
R33,ON TAI,WONG KA SING,,
R33,ON TAI,CHIU MAN LEONG,DAB,B
R33,ON TAI,YAU YUET WAH DONNA,Democratic Party,D
R34,TAI SHUI HANG,CHEUNG CHI YIN,DAB,B
R34,TAI SHUI HANG,YUNG MING CHAU MICHAEL,,
R35,YU YAN,YIU KA CHUN,New People・s Party/ Civil Force,B
R36,BIK WOO,OWEN OI MING EMILY,,
R36,BIK WOO,LAU WAI LUN,,
